location,location_nb,group_name,bed,round,vegetable,planting,date_in,date_out
plot,1,early_cucurbitaceae_and_brassicaceae,1,1,broccoli,T,May 15,
plot,1,early_cucurbitaceae_and_brassicaceae,2,1,broccoli,T,May 15,
plot,1,early_cucurbitaceae_and_brassicaceae,3,1,broccoli,T,May 15,
plot,1,early_cucurbitaceae_and_brassicaceae,4,1,bok_choy,T,May 9,
plot,1,early_cucurbitaceae_and_brassicaceae,5,1,kohlrabi,T,May 9,
plot,1,early_cucurbitaceae_and_brassicaceae,6,1,kale,T,May 9,
plot,1,early_cucurbitaceae_and_brassicaceae,7,1,broccoli,T,May 20,
plot,1,early_cucurbitaceae_and_brassicaceae,8,1,broccoli,T,May 20,
plot,1,early_cucurbitaceae_and_brassicaceae,9,1,broccoli,T,May 20,
plot,1,early_cucurbitaceae_and_brassicaceae,10,1,broccoli,T,May 20,
plot,1,early_cucurbitaceae_and_brassicaceae,11,1,broccoli,T,May 20,
plot,1,early_cucurbitaceae_and_brassicaceae,12,1,summer_squash,T,May 18,
plot,1,early_cucurbitaceae_and_brassicaceae,13,1,summer_squash,T,May 18,
plot,1,early_cucurbitaceae_and_brassicaceae,14,1,summer_squash,T,May 18,
plot,1,early_cucurbitaceae_and_brassicaceae,15,1,cauliflower,T,June 1,
plot,1,early_cucurbitaceae_and_brassicaceae,16,1,cauliflower,T,June 1,
plot,1,early_cucurbitaceae_and_brassicaceae,1,2,oats_peas_manure,DS,August 1,October 31
plot,1,early_cucurbitaceae_and_brassicaceae,2,2,oats_peas_manure,DS,August 1,October 31
plot,1,early_cucurbitaceae_and_brassicaceae,3,2,oats_peas_manure,DS,August 1,October 31
plot,1,early_cucurbitaceae_and_brassicaceae,4,2,oats_peas_manure,DS,August 1,October 31
plot,1,early_cucurbitaceae_and_brassicaceae,5,2,oats_peas_manure,DS,August 1,October 31
plot,1,early_cucurbitaceae_and_brassicaceae,6,2,oats_peas_manure,DS,August 1,October 31
plot,1,early_cucurbitaceae_and_brassicaceae,7,2,oats_peas_manure,DS,August 1,October 31
plot,1,early_cucurbitaceae_and_brassicaceae,8,2,oats_peas_manure,DS,August 1,October 31
plot,1,early_cucurbitaceae_and_brassicaceae,9,2,oats_peas_manure,DS,August 1,October 31
plot,1,early_cucurbitaceae_and_brassicaceae,10,2,oats_peas_manure,DS,August 1,October 31
plot,1,early_cucurbitaceae_and_brassicaceae,11,2,oats_peas_manure,DS,August 1,October 31
plot,1,early_cucurbitaceae_and_brassicaceae,12,2,oats_peas_manure,DS,August 1,October 31
plot,1,early_cucurbitaceae_and_brassicaceae,13,2,oats_peas_manure,DS,August 1,October 31
plot,1,early_cucurbitaceae_and_brassicaceae,14,2,oats_peas_manure,DS,August 1,October 31
plot,1,early_cucurbitaceae_and_brassicaceae,15,2,oats_peas_manure,DS,August 1,October 31
plot,1,early_cucurbitaceae_and_brassicaceae,16,2,oats_peas_manure,DS,August 1,October 31
plot,2,greens_and_roots,1,1,mesclun_mix,DS,April 15,June 10
