vegetable,min_harvest,max_harvest
mesclun_mix,2021-04-19,
turnip,2021-05-17,2021-11-30
beet,2021-05-19,2021-11-30
spinach,2021-05-22,2021-11-30
carrot,2021-06-13,2021-11-30
lettuce,2021-06-15,2021-09-12
snow_pea,2021-06-17,2021-08-10
bok_choy,2021-06-18,
kohlrabi,2021-06-18,
cucumber,2021-06-19,
arugula,2021-06-24,2021-11-30
radish,2021-06-24,2021-11-30
kale,2021-06-26,
onion,2021-06-27,
summer_squash,2021-07-03,
bean,2021-07-11,2021-11-30
broccoli,2021-07-19,
leek,2021-07-19,
chicory,2021-07-25,2021-11-30
cauliflower,2021-08-20,
swiss_chard,2021-08-27,2021-10-31
chinese_cabbage,2021-09-17,2021-11-30
mustard_greens,2021-10-04,2021-10-31
tomato,2021-11-12,
pepper,2021-11-27,
eggplant,2021-12-26,2021-11-30
garlic,2022-07-01,2021-07-01
tatsoy,,
charentais,,
muskmelon,,
watermelon,,
mesclun_mix_tunnel,,
oats_peas_manure,,2021-10-31
ground_cherry,,2021-11-30
hot_pepper,,2021-11-30
melon,,2021-11-30
vetch_oat_manure,,2021-06-01
cabbage,,
brussels_sprout,,
cilantro_dill,,2021-08-04
collard_greens,,2021-11-30
fennel,,2021-11-30
green_onion,,
parsley,,2021-11-30
basil,,
celery,,
cellery_root,,
corn,,
rutabaga,,
potato,,
sweetcorn,,
cherry_tomato,,
pumpkin,,
coriandre,,
thyme,,
rosemary,,
microgreens,,
raspberries,,
strawberries,,
asperagus,,
Sweet potato,,
